acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
DS,D,S,Bacillati,211,3944,5.349898580121703,acid,alcohol
DS,D,S,Fungi,1337,3944,33.89959432048681,acid,alcohol
DS,D,S,Metazoa,829,3944,21.019269776876268,acid,alcohol
DS,D,S,Other,8,3944,0.2028397565922921,acid,alcohol
DS,D,S,Pseudomonadati,50,3944,1.2677484787018256,acid,alcohol
DS,D,S,Viridiplantae,1509,3944,38.2606490872211,acid,alcohol
DT,D,T,Bacillati,8395,113229,7.414178346536665,acid,alcohol
DT,D,T,Fungi,31053,113229,27.42495297141192,acid,alcohol
DT,D,T,Metazoa,29908,113229,26.41372793189024,acid,alcohol
DT,D,T,Other,389,113229,0.3435515636453559,acid,alcohol
DT,D,T,Pseudomonadati,5055,113229,4.464403995442864,acid,alcohol
DT,D,T,Viridiplantae,38429,113229,33.93918519107296,acid,alcohol
ES,E,S,Bacillati,448,3707,12.085244132721877,acid,alcohol
ES,E,S,Fungi,464,3707,12.5168599946048,acid,alcohol
ES,E,S,Metazoa,1072,3707,28.91826274615592,acid,alcohol
ES,E,S,Other,5,3707,0.1348799568384138,acid,alcohol
ES,E,S,Pseudomonadati,134,3707,3.61478284326949,acid,alcohol
ES,E,S,Viridiplantae,1584,3707,42.72997032640949,acid,alcohol
ET,E,T,Bacillati,38444,133211,28.85947857158943,acid,alcohol
ET,E,T,Fungi,21027,133211,15.784732492061465,acid,alcohol
ET,E,T,Metazoa,39038,133211,29.305387693208516,acid,alcohol
ET,E,T,Other,689,133211,0.5172245535278618,acid,alcohol
ET,E,T,Pseudomonadati,11926,133211,8.952714115200697,acid,alcohol
ET,E,T,Viridiplantae,22087,133211,16.58046257441202,acid,alcohol
