acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
DA,D,A,Bacillati,44,2014,2.1847070506454815,acid,aliphatic
DA,D,A,Fungi,1382,2014,68.61966236345582,acid,aliphatic
DA,D,A,Metazoa,249,2014,12.363455809334658,acid,aliphatic
DA,D,A,Pseudomonadati,4,2014,0.19860973187686196,acid,aliphatic
DA,D,A,Viridiplantae,335,2014,16.63356504468719,acid,aliphatic
DF,D,F,Viridiplantae,1,1,100,acid,aliphatic
DG,D,G,Bacillati,2,117,1.7094017094017095,acid,aliphatic
DG,D,G,Fungi,58,117,49.572649572649574,acid,aliphatic
DG,D,G,Metazoa,21,117,17.94871794871795,acid,aliphatic
DG,D,G,Viridiplantae,36,117,30.76923076923077,acid,aliphatic
DI,D,I,Bacillati,1,87,1.1494252873563218,acid,aliphatic
DI,D,I,Fungi,63,87,72.41379310344827,acid,aliphatic
DI,D,I,Metazoa,16,87,18.39080459770115,acid,aliphatic
DI,D,I,Viridiplantae,7,87,8.045977011494253,acid,aliphatic
DL,D,L,Fungi,6,103,5.825242718446602,acid,aliphatic
DL,D,L,Metazoa,19,103,18.446601941747574,acid,aliphatic
DL,D,L,Viridiplantae,78,103,75.72815533980582,acid,aliphatic
DV,D,V,Bacillati,3,27,11.11111111111111,acid,aliphatic
DV,D,V,Fungi,9,27,33.33333333333333,acid,aliphatic
DV,D,V,Metazoa,4,27,14.814814814814813,acid,aliphatic
DV,D,V,Pseudomonadati,2,27,7.4074074074074066,acid,aliphatic
DV,D,V,Viridiplantae,9,27,33.33333333333333,acid,aliphatic
EA,E,A,Bacillati,819,1730,47.34104046242775,acid,aliphatic
EA,E,A,Fungi,72,1730,4.161849710982659,acid,aliphatic
EA,E,A,Metazoa,217,1730,12.54335260115607,acid,aliphatic
EA,E,A,Other,57,1730,3.2947976878612715,acid,aliphatic
EA,E,A,Pseudomonadati,419,1730,24.21965317919075,acid,aliphatic
EA,E,A,Viridiplantae,146,1730,8.439306358381502,acid,aliphatic
EF,E,F,Metazoa,2,5,40,acid,aliphatic
EF,E,F,Viridiplantae,3,5,60,acid,aliphatic
EG,E,G,Bacillati,4,94,4.25531914893617,acid,aliphatic
EG,E,G,Fungi,11,94,11.702127659574469,acid,aliphatic
EG,E,G,Metazoa,54,94,57.446808510638306,acid,aliphatic
EG,E,G,Viridiplantae,25,94,26.595744680851062,acid,aliphatic
EI,E,I,Bacillati,3,353,0.84985835694051,acid,aliphatic
EI,E,I,Fungi,12,353,3.39943342776204,acid,aliphatic
EI,E,I,Metazoa,328,353,92.91784702549575,acid,aliphatic
EI,E,I,Viridiplantae,10,353,2.8328611898017,acid,aliphatic
EL,E,L,Bacillati,2,9,22.22222222222222,acid,aliphatic
EL,E,L,Fungi,3,9,33.33333333333333,acid,aliphatic
EL,E,L,Viridiplantae,4,9,44.44444444444444,acid,aliphatic
EV,E,V,Bacillati,22,52,42.30769230769231,acid,aliphatic
EV,E,V,Fungi,1,52,1.9230769230769231,acid,aliphatic
EV,E,V,Metazoa,18,52,34.61538461538461,acid,aliphatic
EV,E,V,Pseudomonadati,2,52,3.8461538461538463,acid,aliphatic
EV,E,V,Viridiplantae,9,52,17.307692307692307,acid,aliphatic
