acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
DK,D,K,Fungi,3,7,42.857142857142854,acid,charged
DK,D,K,Metazoa,1,7,14.285714285714285,acid,charged
DK,D,K,Viridiplantae,3,7,42.857142857142854,acid,charged
DR,D,R,Fungi,1,10,10,acid,charged
DR,D,R,Metazoa,7,10,70,acid,charged
DR,D,R,Viridiplantae,2,10,20,acid,charged
EK,E,K,Bacillati,1,19,5.263157894736842,acid,charged
EK,E,K,Fungi,4,19,21.052631578947366,acid,charged
EK,E,K,Metazoa,12,19,63.1578947368421,acid,charged
EK,E,K,Viridiplantae,2,19,10.526315789473683,acid,charged
ER,E,R,Fungi,1,4,25,acid,charged
ER,E,R,Metazoa,2,4,50,acid,charged
ER,E,R,Pseudomonadati,1,4,25,acid,charged
