acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
SS,S,S,Bacillati,4,48,8.333333333333332,alcohol,alcohol
SS,S,S,Fungi,2,48,4.166666666666666,alcohol,alcohol
SS,S,S,Metazoa,13,48,27.083333333333332,alcohol,alcohol
SS,S,S,Pseudomonadati,6,48,12.5,alcohol,alcohol
SS,S,S,Viridiplantae,23,48,47.91666666666667,alcohol,alcohol
ST,S,T,Bacillati,24,1032,2.3255813953488373,alcohol,alcohol
ST,S,T,Fungi,195,1032,18.8953488372093,alcohol,alcohol
ST,S,T,Metazoa,386,1032,37.4031007751938,alcohol,alcohol
ST,S,T,Other,3,1032,0.29069767441860467,alcohol,alcohol
ST,S,T,Pseudomonadati,33,1032,3.1976744186046515,alcohol,alcohol
ST,S,T,Viridiplantae,391,1032,37.8875968992248,alcohol,alcohol
TS,T,S,Bacillati,1,25,4,alcohol,alcohol
TS,T,S,Fungi,1,25,4,alcohol,alcohol
TS,T,S,Metazoa,3,25,12,alcohol,alcohol
TS,T,S,Pseudomonadati,2,25,8,alcohol,alcohol
TS,T,S,Viridiplantae,18,25,72,alcohol,alcohol
TT,T,T,Bacillati,76,549,13.843351548269581,alcohol,alcohol
TT,T,T,Fungi,161,549,29.326047358834245,alcohol,alcohol
TT,T,T,Metazoa,71,549,12.932604735883423,alcohol,alcohol
TT,T,T,Other,1,549,0.18214936247723132,alcohol,alcohol
TT,T,T,Pseudomonadati,33,549,6.0109289617486334,alcohol,alcohol
TT,T,T,Viridiplantae,207,549,37.704918032786885,alcohol,alcohol
