acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
AS,A,S,Bacillati,1,40,2.5,aliphatic,alcohol
AS,A,S,Fungi,6,40,15,aliphatic,alcohol
AS,A,S,Metazoa,6,40,15,aliphatic,alcohol
AS,A,S,Pseudomonadati,1,40,2.5,aliphatic,alcohol
AS,A,S,Viridiplantae,26,40,65,aliphatic,alcohol
AT,A,T,Bacillati,115,1832,6.277292576419214,aliphatic,alcohol
AT,A,T,Fungi,329,1832,17.958515283842793,aliphatic,alcohol
AT,A,T,Metazoa,911,1832,49.72707423580786,aliphatic,alcohol
AT,A,T,Other,5,1832,0.2729257641921397,aliphatic,alcohol
AT,A,T,Pseudomonadati,212,1832,11.572052401746726,aliphatic,alcohol
AT,A,T,Viridiplantae,260,1832,14.192139737991265,aliphatic,alcohol
FS,F,S,Metazoa,1,1,100,aliphatic,alcohol
FT,F,T,Bacillati,9,290,3.103448275862069,aliphatic,alcohol
FT,F,T,Fungi,7,290,2.413793103448276,aliphatic,alcohol
FT,F,T,Metazoa,272,290,93.79310344827586,aliphatic,alcohol
FT,F,T,Pseudomonadati,1,290,0.3448275862068966,aliphatic,alcohol
FT,F,T,Viridiplantae,1,290,0.3448275862068966,aliphatic,alcohol
GS,G,S,Bacillati,19,138,13.768115942028986,aliphatic,alcohol
GS,G,S,Fungi,8,138,5.797101449275362,aliphatic,alcohol
GS,G,S,Metazoa,12,138,8.695652173913043,aliphatic,alcohol
GS,G,S,Pseudomonadati,40,138,28.985507246376812,aliphatic,alcohol
GS,G,S,Viridiplantae,59,138,42.7536231884058,aliphatic,alcohol
GT,G,T,Bacillati,189,1799,10.505836575875486,aliphatic,alcohol
GT,G,T,Fungi,606,1799,33.68538076709283,aliphatic,alcohol
GT,G,T,Metazoa,298,1799,16.564758198999442,aliphatic,alcohol
GT,G,T,Other,1,1799,0.055586436909394105,aliphatic,alcohol
GT,G,T,Pseudomonadati,56,1799,3.11284046692607,aliphatic,alcohol
GT,G,T,Viridiplantae,649,1799,36.075597554196776,aliphatic,alcohol
IS,I,S,Bacillati,23,43,53.48837209302325,aliphatic,alcohol
IS,I,S,Fungi,2,43,4.651162790697675,aliphatic,alcohol
IS,I,S,Metazoa,4,43,9.30232558139535,aliphatic,alcohol
IS,I,S,Pseudomonadati,1,43,2.3255813953488373,aliphatic,alcohol
IS,I,S,Viridiplantae,13,43,30.23255813953488,aliphatic,alcohol
IT,I,T,Bacillati,472,734,64.30517711171662,aliphatic,alcohol
IT,I,T,Fungi,72,734,9.809264305177113,aliphatic,alcohol
IT,I,T,Metazoa,62,734,8.446866485013624,aliphatic,alcohol
IT,I,T,Other,64,734,8.71934604904632,aliphatic,alcohol
IT,I,T,Pseudomonadati,27,734,3.6784741144414173,aliphatic,alcohol
IT,I,T,Viridiplantae,37,734,5.040871934604905,aliphatic,alcohol
LS,L,S,Bacillati,3,35,8.571428571428571,aliphatic,alcohol
LS,L,S,Metazoa,24,35,68.57142857142857,aliphatic,alcohol
LS,L,S,Pseudomonadati,1,35,2.857142857142857,aliphatic,alcohol
LS,L,S,Viridiplantae,7,35,20,aliphatic,alcohol
LT,L,T,Bacillati,112,445,25.168539325842698,aliphatic,alcohol
LT,L,T,Fungi,37,445,8.314606741573034,aliphatic,alcohol
LT,L,T,Metazoa,118,445,26.516853932584272,aliphatic,alcohol
LT,L,T,Pseudomonadati,122,445,27.415730337078653,aliphatic,alcohol
LT,L,T,Viridiplantae,56,445,12.584269662921349,aliphatic,alcohol
VS,V,S,Bacillati,17,124,13.709677419354838,aliphatic,alcohol
VS,V,S,Fungi,5,124,4.032258064516129,aliphatic,alcohol
VS,V,S,Metazoa,81,124,65.32258064516128,aliphatic,alcohol
VS,V,S,Pseudomonadati,1,124,0.8064516129032258,aliphatic,alcohol
VS,V,S,Viridiplantae,20,124,16.129032258064516,aliphatic,alcohol
VT,V,T,Bacillati,357,1912,18.671548117154813,aliphatic,alcohol
VT,V,T,Fungi,405,1912,21.182008368200837,aliphatic,alcohol
VT,V,T,Metazoa,885,1912,46.28661087866109,aliphatic,alcohol
VT,V,T,Other,17,1912,0.889121338912134,aliphatic,alcohol
VT,V,T,Pseudomonadati,100,1912,5.230125523012552,aliphatic,alcohol
VT,V,T,Viridiplantae,148,1912,7.740585774058577,aliphatic,alcohol
