acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
AA,A,A,Bacillati,1,11,9.090909090909092,aliphatic,aliphatic
AA,A,A,Fungi,2,11,18.181818181818183,aliphatic,aliphatic
AA,A,A,Metazoa,3,11,27.27272727272727,aliphatic,aliphatic
AA,A,A,Pseudomonadati,5,11,45.45454545454545,aliphatic,aliphatic
AF,A,F,Viridiplantae,1,1,100,aliphatic,aliphatic
AL,A,L,Bacillati,1,1,100,aliphatic,aliphatic
FA,F,A,Metazoa,2,2,100,aliphatic,aliphatic
GA,G,A,Bacillati,2,12,16.666666666666664,aliphatic,aliphatic
GA,G,A,Fungi,2,12,16.666666666666664,aliphatic,aliphatic
GA,G,A,Metazoa,1,12,8.333333333333332,aliphatic,aliphatic
GA,G,A,Viridiplantae,7,12,58.333333333333336,aliphatic,aliphatic
GG,G,G,Bacillati,5,11,45.45454545454545,aliphatic,aliphatic
GG,G,G,Fungi,5,11,45.45454545454545,aliphatic,aliphatic
GG,G,G,Pseudomonadati,1,11,9.090909090909092,aliphatic,aliphatic
GI,G,I,Metazoa,1,1,100,aliphatic,aliphatic
IA,I,A,Fungi,2,2,100,aliphatic,aliphatic
LA,L,A,Bacillati,1,3,33.33333333333333,aliphatic,aliphatic
LA,L,A,Metazoa,2,3,66.66666666666666,aliphatic,aliphatic
VA,V,A,Bacillati,6,19,31.57894736842105,aliphatic,aliphatic
VA,V,A,Metazoa,11,19,57.89473684210527,aliphatic,aliphatic
VA,V,A,Pseudomonadati,1,19,5.263157894736842,aliphatic,aliphatic
VA,V,A,Viridiplantae,1,19,5.263157894736842,aliphatic,aliphatic
VG,V,G,Viridiplantae,1,1,100,aliphatic,aliphatic
