acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
NS,N,S,Bacillati,1,54,1.8518518518518516,amide,alcohol
NS,N,S,Fungi,9,54,16.666666666666664,amide,alcohol
NS,N,S,Metazoa,8,54,14.814814814814813,amide,alcohol
NS,N,S,Pseudomonadati,1,54,1.8518518518518516,amide,alcohol
NS,N,S,Viridiplantae,35,54,64.81481481481481,amide,alcohol
NT,N,T,Bacillati,28,736,3.804347826086957,amide,alcohol
NT,N,T,Fungi,146,736,19.83695652173913,amide,alcohol
NT,N,T,Metazoa,135,736,18.342391304347828,amide,alcohol
NT,N,T,Pseudomonadati,2,736,0.2717391304347826,amide,alcohol
NT,N,T,Viridiplantae,425,736,57.74456521739131,amide,alcohol
QS,Q,S,Bacillati,6,105,5.714285714285714,amide,alcohol
QS,Q,S,Fungi,6,105,5.714285714285714,amide,alcohol
QS,Q,S,Metazoa,36,105,34.285714285714285,amide,alcohol
QS,Q,S,Pseudomonadati,28,105,26.666666666666668,amide,alcohol
QS,Q,S,Viridiplantae,29,105,27.61904761904762,amide,alcohol
QT,Q,T,Bacillati,191,1218,15.681444991789819,amide,alcohol
QT,Q,T,Fungi,41,1218,3.3661740558292284,amide,alcohol
QT,Q,T,Metazoa,285,1218,23.39901477832512,amide,alcohol
QT,Q,T,Pseudomonadati,16,1218,1.3136288998357963,amide,alcohol
QT,Q,T,Viridiplantae,685,1218,56.23973727422003,amide,alcohol
