acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
HS,H,S,Bacillati,4,1833,0.2182214948172395,charged,alcohol
HS,H,S,Fungi,1765,1833,96.29023458810693,charged,alcohol
HS,H,S,Metazoa,19,1833,1.0365521003818876,charged,alcohol
HS,H,S,Pseudomonadati,6,1833,0.32733224222585927,charged,alcohol
HS,H,S,Viridiplantae,39,1833,2.127659574468085,charged,alcohol
HT,H,T,Bacillati,1086,5748,18.893528183716075,charged,alcohol
HT,H,T,Fungi,2545,5748,44.27627000695894,charged,alcohol
HT,H,T,Metazoa,1316,5748,22.89491997216423,charged,alcohol
HT,H,T,Other,3,5748,0.052192066805845504,charged,alcohol
HT,H,T,Pseudomonadati,232,5748,4.036186499652053,charged,alcohol
HT,H,T,Viridiplantae,566,5748,9.846903270702853,charged,alcohol
KS,K,S,Bacillati,34,53,64.15094339622641,charged,alcohol
KS,K,S,Fungi,2,53,3.7735849056603774,charged,alcohol
KS,K,S,Metazoa,1,53,1.8867924528301887,charged,alcohol
KS,K,S,Viridiplantae,16,53,30.18867924528302,charged,alcohol
KT,K,T,Bacillati,162,311,52.09003215434084,charged,alcohol
KT,K,T,Fungi,20,311,6.430868167202572,charged,alcohol
KT,K,T,Metazoa,63,311,20.257234726688104,charged,alcohol
KT,K,T,Other,2,311,0.6430868167202572,charged,alcohol
KT,K,T,Pseudomonadati,13,311,4.180064308681672,charged,alcohol
KT,K,T,Viridiplantae,51,311,16.39871382636656,charged,alcohol
RS,R,S,Bacillati,2,3,66.66666666666666,charged,alcohol
RS,R,S,Fungi,1,3,33.33333333333333,charged,alcohol
RT,R,T,Bacillati,8,29,27.586206896551722,charged,alcohol
RT,R,T,Fungi,7,29,24.137931034482758,charged,alcohol
RT,R,T,Metazoa,5,29,17.24137931034483,charged,alcohol
RT,R,T,Pseudomonadati,1,29,3.4482758620689653,charged,alcohol
RT,R,T,Viridiplantae,8,29,27.586206896551722,charged,alcohol
