acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
CT,C,T,Fungi,1,8,12.5,special,alcohol
CT,C,T,Metazoa,5,8,62.5,special,alcohol
CT,C,T,Viridiplantae,2,8,25,special,alcohol
MS,M,S,Bacillati,3,7,42.857142857142854,special,alcohol
MS,M,S,Metazoa,1,7,14.285714285714285,special,alcohol
MS,M,S,Viridiplantae,3,7,42.857142857142854,special,alcohol
MT,M,T,Bacillati,7,63,11.11111111111111,special,alcohol
MT,M,T,Fungi,18,63,28.57142857142857,special,alcohol
MT,M,T,Metazoa,19,63,30.158730158730158,special,alcohol
MT,M,T,Pseudomonadati,15,63,23.809523809523807,special,alcohol
MT,M,T,Viridiplantae,4,63,6.349206349206349,special,alcohol
PT,P,T,Bacillati,4,7,57.14285714285714,special,alcohol
PT,P,T,Metazoa,2,7,28.57142857142857,special,alcohol
PT,P,T,Pseudomonadati,1,7,14.285714285714285,special,alcohol
YS,Y,S,Fungi,2,10,20,special,alcohol
YS,Y,S,Metazoa,3,10,30,special,alcohol
YS,Y,S,Viridiplantae,5,10,50,special,alcohol
YT,Y,T,Bacillati,3,139,2.158273381294964,special,alcohol
YT,Y,T,Fungi,7,139,5.0359712230215825,special,alcohol
YT,Y,T,Metazoa,83,139,59.71223021582733,special,alcohol
YT,Y,T,Pseudomonadati,1,139,0.7194244604316548,special,alcohol
YT,Y,T,Viridiplantae,45,139,32.37410071942446,special,alcohol
