,acid_alc,kingdom,count,total_count,percentage
0,ET,Bacillati,38444,134906,28.496879308555588
1,ET,Bamfordvirae,3,134906,0.0022237706254725513
2,ET,Fungi,21027,134906,15.586408313937111
3,ET,Heunggongvirae,2,134906,0.0014825137503150343
4,ET,Methanobacteriati,494,134906,0.3661808963278134
5,ET,Thermoproteati,51,134906,0.037804100633033376
6,ET,Metazoa,39038,134906,28.937185892399153
7,ET,Viridiplantae,22087,134906,16.37214060160408
8,ET,Pseudomonadati,11926,134906,8.840229493128549
9,ET,Nanobdellati,1,134906,0.0007412568751575171
10,ET,Thermotogati,138,134906,0.10229344877173735
11,DT,Fungi,31053,115358,26.91880927200541
12,DT,Metazoa,29908,115358,25.92624698763848
13,DT,Methanobacteriati,329,115358,0.28519911926351016
14,DT,Bamfordvirae,4,115358,0.0034674664956049865
15,DT,Pseudomonadati,5055,115358,4.382010783820801
16,DT,Thermotogati,56,115358,0.048544530938469804
17,DT,Bacillati,8395,115358,7.277345307650965
18,DT,Viridiplantae,38429,115358,33.312817489901
19,HT,Fungi,2545,5845,43.541488451668094
20,HT,Metazoa,1316,5845,22.51497005988024
21,HT,Pseudomonadati,232,5845,3.969204448246364
22,HT,Viridiplantae,566,5845,9.683490162532078
23,HT,Methanobacteriati,3,5845,0.05132591958939265
24,HT,Bacillati,1086,5845,18.579982891360135
25,DS,Viridiplantae,1509,4122,36.60844250363901
26,DS,Bacillati,211,4122,5.118874332848132
27,DS,Fungi,1337,4122,32.43571081999029
28,DS,Methanobacteriati,8,4122,0.19408054342552158
29,DS,Metazoa,829,4122,20.111596312469675
30,DS,Pseudomonadati,50,4122,1.21300339640951
31,ES,Viridiplantae,1584,3738,42.375601926163725
32,ES,Fungi,464,3738,12.413055109684324
33,ES,Bacillati,448,3738,11.985018726591761
34,ES,Methanobacteriati,5,3738,0.13376136971642588
35,ES,Metazoa,1072,3738,28.678437667201713
36,ES,Pseudomonadati,134,3738,3.584804708400214
37,DA,Fungi,1382,2031,68.04529788281634
38,DA,Bacillati,44,2031,2.166420482520926
39,DA,Viridiplantae,335,2031,16.494337764647955
40,DA,Pseudomonadati,4,2031,0.19694731659281145
41,DA,Metazoa,249,2031,12.259970457902511
42,VT,Thermoproteati,3,1938,0.15479876160990713
43,VT,Viridiplantae,148,1938,7.636738906088751
44,VT,Methanobacteriati,11,1938,0.5675954592363261
45,VT,Pseudomonadati,100,1938,5.159958720330237
46,VT,Thermotogati,3,1938,0.15479876160990713
47,VT,Bacillati,357,1938,18.421052631578945
48,VT,Metazoa,885,1938,45.6656346749226
49,VT,Fungi,405,1938,20.897832817337463
50,AT,Bacillati,115,1848,6.222943722943723
51,AT,Pseudomonadati,212,1848,11.471861471861471
52,AT,Methanobacteriati,5,1848,0.27056277056277056
53,AT,Viridiplantae,260,1848,14.06926406926407
54,AT,Metazoa,911,1848,49.29653679653679
55,AT,Fungi,329,1848,17.803030303030305
56,HS,Viridiplantae,39,1835,2.125340599455041
57,HS,Pseudomonadati,6,1835,0.32697547683923706
58,HS,Metazoa,19,1835,1.0354223433242506
59,HS,Fungi,1765,1835,96.18528610354224
60,HS,Bacillati,4,1835,0.21798365122615804
61,GT,Methanobacteriati,1,1808,0.05530973451327434
62,GT,Viridiplantae,649,1808,35.89601769911505
63,GT,Fungi,606,1808,33.517699115044245
64,GT,Pseudomonadati,56,1808,3.0973451327433628
65,GT,Metazoa,298,1808,16.48230088495575
66,GT,Bacillati,189,1808,10.45353982300885
67,EA,Metazoa,217,1744,12.442660550458715
68,EA,Methanobacteriati,2,1744,0.11467889908256881
69,EA,Pseudomonadati,419,1744,24.025229357798164
70,EA,Bacillati,819,1744,46.961009174311926
71,EA,Thermotogati,55,1744,3.153669724770642
72,EA,Viridiplantae,146,1744,8.371559633027523
73,EA,Fungi,72,1744,4.128440366972478
74,QT,Bacillati,191,1267,15.074980268350435
75,QT,Viridiplantae,685,1267,54.064719810576165
76,QT,Pseudomonadati,16,1267,1.2628255722178374
77,QT,Metazoa,285,1267,22.494080505130228
78,QT,Fungi,41,1267,3.235990528808208
79,ST,Bacillati,24,1038,2.312138728323699
