acid_alc,Bacillati,Bamfordvirae,Fungi,Heunggongvirae,Metazoa,Methanobacteriati,Nanobdellati,Pseudomonadati,Thermoproteati,Thermotogati,Viridiplantae
AA,0.13048484073173852,0.0,0.2149162082640399,0.0,0.27401816553665087,0.0,0.0,0.38058078546757074,0.0,0.0,0.0
AF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AN,0.018650088809946716,0.0,0.0,0.0,0.9813499111900533,0.0,0.0,0.0,0.0,0.0,0.0
AP,0.0,0.0,0.0,0.0,0.6764705882352942,0.0,0.0,0.0,0.0,0.0,0.32352941176470584
AR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS,0.032729650085485285,0.0,0.1789773270497423,0.0,0.17455813378925483,0.0,0.0,0.030211984694294106,0.0,0.0,0.5835229043812233
AT,0.07615088406114544,0.0,0.19658411490215122,0.0,0.4306444515080181,0.0034929029457221776,0.0,0.13336671519666335,0.0,0.0,0.15976093138629974
CT,0.0,0.0,0.13641618497109828,0.0,0.6138728323699422,0.0,0.0,0.0,0.0,0.0,0.24971098265895955
DA,0.03106963755174938,0.0,0.5985855867334396,0.0,0.160088167308933,0.0,0.0,0.0028704175836528406,0.0,0.0,0.20738619082222515
DD,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0.0,0.0,0.5071428571428571,0.0,0.4928571428571429,0.0,0.0,0.0,0.0,0.0,0.0
DF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DG,0.02111479481236853,0.0,0.46795878584159845,0.0,0.19753841213087903,0.0,0.0,0.0,0.0,0.0,0.3133880072151539
DI,0.014866293393549973,0.0,0.6748258507683491,0.0,0.21329899216832568,0.0,0.0,0.0,0.0,0.0,0.09700886366977526
DK,0.0,0.0,0.43604651162790703,0.0,0.1453488372093023,0.0,0.0,0.0,0.0,0.0,0.4186046511627907
DL,0.0,0.0,0.07481655193282397,0.0,0.2203898429028923,0.0,0.0,0.0,0.0,0.0,0.7047936051642837
DM,0.0,0.0,0.5043457459532733,0.0,0.10270313372139384,0.0,0.0,0.0,0.0,0.0,0.3929511203253329
DN,0.20576965158214713,0.0,0.11240814151748495,0.0,0.06632741285903775,0.0,0.0,0.021750937654339924,0.0,0.0,0.5937438563869902
DP,0.06945732061478828,0.0,0.3420295540147514,0.0,0.2361917374752217,0.0,0.0,0.009872966518256856,0.0,0.0,0.34244842137698184
DQ,0.0,0.0,0.0,0.0,0.8594040968342644,0.0,0.0,0.0,0.0,0.0,0.1405959031657356
DR,0.0,0.0,0.10475034117363732,0.0,0.6930741751625592,0.0,0.0,0.0,0.0,0.0,0.2021754836638035
DS,0.06525714967582656,0.0,0.3301211195429826,0.0,0.22504625589148355,0.002588380958300646,0.0,0.016012343947057524,0.0,0.0,0.3609747499843491
DT,0.08684397093109383,4.438410185496624e-05,0.27156348646773665,0.0,0.263606102482192,0.0036401612132324376,0.0,0.05373687065181179,0.0,0.0006210440776346501,0.3199439800744436
DV,0.11596221611858298,0.0,0.3339012554570254,0.0,0.15067199509285273,0.0,0.0,0.07533599754642636,0.0,0.0,0.3241285357851124
EA,0.41867025711403305,0.0,0.05059230086132041,0.0,0.14198589492078315,0.001453574946743605,0.0,0.250042510005199,0.0,0.038822564202610446,0.09843289794931041
EC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ED,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.24109594973033752,0.0,0.5806209798551706,0.0,0.0,0.059988328724373076,0.0,0.0,0.11829474169011885
EF,0.0,0.0,0.0,0.0,0.4035087719298246,0.0,0.0,0.0,0.0,0.0,0.5964912280701755
EG,0.047991901240809494,0.0,0.12812123634823247,0.0,0.5487799131969618,0.0,0.0,0.0,0.0,0.0,0.27510694921399614
EI,0.012940015259649615,0.0,0.050771587650708556,0.0,0.8941251409091227,0.0,0.0,0.0,0.0,0.0,0.04216325618051922
EK,0.05509918077877422,0.0,0.21586181111684388,0.0,0.6219891711627634,0.0,0.0,0.0,0.0,0.0,0.10704983694161849
EL,0.22565291010245245,0.0,0.33423067019359065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4401164197039569
EM,0.0,0.0,0.10861907304019662,0.0,0.7011548439008555,0.021723814608039325,0.0,0.021572954784372385,0.0,0.0,0.14692931366653625
EN,0.4892933482320122,0.0,0.21026082557402792,0.0,0.15108012364478338,0.0,0.0,0.007379225509243811,0.0,0.0,0.14198647703993267
EP,0.17220535925311573,0.0,0.08860891498356215,0.0,0.6116825491243998,0.0,0.0,0.03805192364277691,0.0,0.0,0.0894512529961454
EQ,0.03553933606774622,0.0,0.035298391416439465,0.0,0.9291622725158143,0.0,0.0,0.0,0.0,0.0,0.0
ER,0.0,0.0,0.2522902235045405,0.0,0.49907593304170933,0.0,0.0,0.2486338434537501,0.0,0.0,0.0
ES,0.1374509095045463,0.0,0.14178750565543244,0.0,0.2882970005280387,0.0017007285972929355,0.0,0.04414179032284291,0.0,0.0,0.38662206539184674
ET,0.27449120660184767,2.7510250903504e-05,0.1668676924567682,1.8339760309618302e-05,0.2777693445294601,0.004513362775067031,9.16954104205528e-06,0.10049113637641832,0.0004674598913155019,0.0012640597171190038,0.17408071809974876
EV,0.421065031304759,0.0,0.020143869528768604,0.0,0.34450775288571184,0.0,0.0,0.039738859778824166,0.0,0.0,0.1745444865019365
EX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FT,0.04316654463104992,0.0,0.03357397915748327,0.0,0.9136514886069137,0.0,0.0,0.004811704867769767,0.0,0.0,0.004796282736783324
GA,0.16997852293187085,0.0,0.16900998433966646,0.0,0.08426492116935076,0.0,0.0,0.0,0.0,0.0,0.5767465715591118
GG,0.4556930068164606,0.0,0.45316839182024743,0.0,0.0,0.0,0.0,0.0911386013632921,0.0,0.0,0.0
GI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GN,0.0,0.0,0.008747645610953496,0.0,0.9538627858095301,0.0,0.0,0.005812150185454154,0.0,0.0,0.031577418394062105
GP,0.11984324825183768,0.0,0.0,0.0,0.5268173637805718,0.11859488108254769,0.0,0.0,0.0,0.0,0.23474450688504286
GS,0.14468328853930437,0.0,0.06197976974176859,0.0,0.09190308113717312,0.0,0.0,0.2897246017766217,0.0,0.0,0.4117092588051322
