SFID,count
2,2278
107,2038
4,1262
105,1129
102,1018
1,364
27,363
154,350
71,349
76,345
75,335
51,331
3,306
81,249
110,231
208,230
97,213
124,209
6,209
135,201
138,199
147,197
140,166
17,162
24,161
52,161
125,160
21,157
183,138
133,134
709,127
84,123
106,117
749,102
78,102
93,97
117,96
89,92
174,92
736,87
195,85
92,84
164,83
190,76
245,72
82,71
170,69
721,69
120,65
5,64
90,62
72,61
704,60
715,58
86,51
137,51
94,50
46,49
116,42
80,41
113,39
716,38
706,37
722,36
101,35
132,34
11,31
109,31
13,27
248,26
99,26
189,25
55,22
302,22
29,22
306,22
165,21
197,19
157,19
278,17
261,15
34,14
303,14
53,14
175,13
153,12
77,12
714,11
65,10
9,10
5005,9
112,8
159,8
734,8
37,7
705,7
7,7
108,7
718,7
724,6
33,6
167,6
8,6
23,5
526,5
617,5
119,5
305,4
264,4
750,4
149,4
83,3
274,3
136,3
130,3
712,3
143,2
128,2
720,2
194,2
570,2
735,2
88,2
707,2
111,1
1050,1
263,1
330,1
333,1
511,1
509,1
557,1
342,1
58,1
5006,1
210,1
20,1
209,1
150,1
12,1
87,1
