SFID,count
2,3401
107,2883
4,1632
105,1494
71,1175
102,1041
51,917
6,866
3,858
125,774
154,748
52,590
1,582
76,546
81,529
72,502
124,386
27,381
208,377
75,376
82,299
86,290
92,289
94,286
89,285
110,272
65,256
93,255
73,248
704,243
7,233
11,226
140,218
116,216
183,215
707,214
17,214
97,213
147,208
135,206
190,206
138,202
153,194
5,192
53,184
108,181
21,178
46,174
24,167
90,159
706,159
8,158
709,156
174,155
736,153
749,151
157,149
165,149
716,149
106,147
133,146
159,141
84,137
109,135
189,134
195,132
9,129
98,120
734,115
170,114
78,113
77,110
570,108
83,105
58,103
112,99
117,98
55,87
164,83
721,82
143,82
120,79
12,79
504,76
150,76
113,75
245,74
705,73
715,71
735,66
302,66
26,65
194,63
80,60
714,55
101,54
137,51
722,51
136,49
13,48
87,47
99,44
34,43
620,42
720,42
710,40
526,40
306,39
79,39
49,38
303,37
127,36
132,36
305,35
33,33
724,32
187,31
718,30
61,30
248,26
18,25
88,24
134,23
261,23
29,23
142,23
315,22
278,21
5005,21
130,21
197,19
279,18
57,17
505,16
188,15
14,15
712,14
311,13
175,13
128,13
37,12
728,12
264,12
167,11
60,10
684,10
32,10
20,10
23,9
313,7
5080,7
333,7
750,6
111,6
31,6
158,6
217,6
354,5
176,5
723,5
511,5
196,5
276,5
617,5
561,5
119,5
325,5
341,4
703,4
149,4
151,4
356,4
162,4
345,4
450,4
177,4
274,3
225,3
538,3
318,3
5008,3
5012,3
324,3
263,3
512,2
682,2
28,2
262,2
337,2
805,2
10,2
366,2
5007,2
5010,1
265,1
1050,1
122,1
330,1
321,1
557,1
806,1
260,1
586,1
209,1
319,1
417,1
39,1
379,1
191,1
19,1
210,1
5003,1
5006,1
509,1
259,1
439,1
726,1
35,1
342,1
353,1
15,1
