SFID,count
157,924
620,664
107,645
125,573
2,493
152,349
71,333
505,304
7,291
8,276
74,272
19,264
189,243
82,235
150,227
109,220
105,219
73,214
570,203
58,201
1,197
153,179
504,175
79,168
108,162
130,159
78,159
158,156
51,154
68,153
144,146
39,145
165,140
20,139
193,138
190,137
11,120
4,113
87,105
187,103
92,102
55,99
61,92
208,91
88,90
90,87
83,84
121,78
716,74
116,71
76,66
163,64
98,60
710,59
512,59
307,59
124,58
154,57
140,54
241,49
541,48
52,47
26,46
81,46
159,45
734,45
226,43
645,43
314,43
245,39
217,38
101,37
3,36
623,33
18,33
72,32
578,29
113,29
86,29
89,28
12,27
542,27
21,26
702,25
203,25
134,25
102,24
185,22
708,22
35,20
313,20
706,19
6,19
551,19
736,19
5262,17
506,17
188,17
719,16
75,15
9,15
65,13
705,13
93,13
321,12
310,12
170,12
53,12
84,12
503,11
723,11
110,11
162,11
301,11
304,10
27,10
316,9
309,9
450,9
103,9
112,8
64,8
247,8
279,8
183,7
44,7
94,7
111,7
33,7
305,6
142,6
701,6
725,6
5282,5
269,5
29,5
119,5
191,5
5293,5
724,4
749,4
46,4
722,4
146,4
28,4
57,4
56,4
704,4
17,4
625,4
177,4
264,4
312,3
5080,3
721,3
80,3
808,3
97,3
99,3
393,3
244,2
660,2
85,2
584,2
149,2
171,2
160,2
707,2
728,2
418,2
720,2
5099,2
510,2
147,2
143,2
194,2
338,2
120,2
114,2
106,2
13,2
127,2
639,1
14,1
137,1
709,1
655,1
807,1
24,1
714,1
712,1
417,1
413,1
5,1
5010,1
5280,1
526,1
5060,1
524,1
345,1
341,1
135,1
425,1
49,1
325,1
336,1
77,1
