SFID,count
2,2672
4,1834
107,1675
71,1125
6,1047
102,1038
3,990
51,864
105,746
52,701
72,552
76,526
81,456
86,451
154,411
1,389
27,381
94,366
75,362
136,353
9,351
89,292
110,273
93,272
65,269
704,254
208,241
707,241
183,228
124,225
97,213
5,211
26,208
135,206
138,202
11,197
82,184
92,179
21,174
734,170
90,168
147,167
98,164
709,159
174,156
46,152
716,150
749,148
170,144
24,141
133,135
190,130
706,128
736,126
84,126
78,121
714,118
61,114
17,107
53,104
5080,101
117,98
721,88
164,82
85,82
12,81
195,80
83,77
77,76
58,74
715,71
735,67
684,67
196,66
701,65
302,65
705,64
159,61
140,60
153,54
127,52
137,51
80,51
120,50
13,50
34,49
722,48
720,47
526,45
724,43
505,43
703,42
143,40
28,40
279,39
303,37
128,37
116,37
132,36
88,34
33,31
60,31
718,30
125,28
87,28
99,28
189,27
188,27
655,26
504,26
248,26
306,24
114,24
261,23
29,23
194,22
5005,21
79,21
245,20
157,19
325,19
278,19
49,17
14,16
305,16
106,16
728,15
561,15
142,15
25,15
162,14
512,14
309,13
712,13
337,13
175,13
311,13
315,13
317,12
37,12
163,12
333,11
165,11
130,10
264,10
197,10
32,10
620,9
23,9
42,9
341,8
151,8
167,8
503,8
20,8
308,8
112,7
313,7
340,7
187,6
511,6
31,6
5012,6
108,6
122,6
750,5
101,5
312,5
617,5
354,5
276,5
347,5
191,4
710,4
349,4
43,4
5013,4
150,4
332,4
331,4
345,4
538,4
109,3
274,3
570,3
551,3
247,3
225,3
263,3
5008,3
35,3
324,3
356,3
411,3
5002,3
711,3
366,3
625,2
262,2
171,2
805,2
10,2
725,2
379,2
5001,2
5007,2
113,2
57,2
5011,2
584,2
56,2
682,2
417,2
260,1
217,1
265,1
5010,1
5006,1
209,1
210,1
244,1
578,1
509,1
806,1
557,1
586,1
176,1
439,1
412,1
405,1
367,1
397,1
18,1
426,1
5003,1
15,1
353,1
726,1
146,1
330,1
321,1
319,1
342,1
1050,1
