SFID,count
107,1684
2,1354
157,1122
125,991
71,925
105,845
620,725
82,453
154,414
51,367
1,366
153,355
152,349
505,342
19,331
570,324
189,313
79,303
150,301
108,300
58,297
92,296
7,295
78,288
73,278
8,276
74,272
109,265
504,261
165,254
124,242
26,212
208,211
83,207
716,205
187,204
87,198
190,191
116,191
11,190
130,188
61,185
4,182
88,177
140,177
3,171
86,165
81,165
68,159
158,156
144,155
39,145
20,141
193,138
53,138
106,133
159,129
76,125
17,125
512,124
52,122
163,112
188,110
90,109
142,108
55,99
706,96
112,96
114,89
113,87
121,87
6,85
98,79
65,76
279,76
9,75
217,72
710,71
12,71
143,63
541,62
736,62
89,61
191,59
307,59
314,57
245,54
101,54
46,53
195,52
162,50
578,50
134,50
313,50
725,50
33,50
226,50
241,49
701,49
72,48
18,47
705,46
127,46
734,45
301,44
645,43
194,43
305,43
147,42
684,39
77,37
94,37
35,37
170,36
244,35
28,35
93,34
21,34
623,33
75,33
102,32
203,31
57,30
120,30
247,29
551,29
542,27
702,27
24,27
315,27
5080,27
185,26
56,26
146,26
225,24
49,23
84,23
708,22
584,22
719,22
722,21
724,21
103,20
85,20
110,19
99,19
506,17
80,17
5262,17
183,16
306,16
321,16
723,15
196,15
128,14
111,14
318,13
503,13
309,12
27,12
310,12
655,12
316,11
133,11
304,10
264,10
450,9
197,9
64,8
707,8
44,8
749,8
714,8
36,7
704,7
712,7
325,7
526,7
149,7
720,7
703,6
625,6
312,6
728,5
249,5
119,5
682,5
29,5
5,5
269,5
5282,5
5293,5
334,5
709,4
177,4
721,4
808,4
176,4
393,3
425,3
122,3
97,3
13,3
341,3
167,3
317,3
410,3
418,3
356,2
171,2
510,2
5099,2
628,2
60,2
528,2
338,2
339,2
34,2
333,2
561,2
660,2
5202,2
5010,2
278,2
160,2
367,2
354,1
151,1
164,1
302,1
135,1
136,1
137,1
639,1
345,1
347,1
5280,1
524,1
336,1
14,1
5060,1
511,1
5009,1
405,1
412,1
413,1
417,1
42,1
259,1
260,1
750,1
809,1
807,1
