SFID,count
2,3983
107,3359
71,2044
4,2009
105,1589
51,1231
157,1141
6,1122
3,1110
102,1069
125,1019
154,825
52,823
620,734
1,708
76,644
82,635
81,618
86,614
72,599
92,469
124,467
208,450
9,422
26,420
78,409
153,409
94,403
75,395
11,387
505,385
58,371
136,354
716,353
89,352
65,345
189,340
27,331
152,327
570,326
79,324
190,321
108,306
93,306
150,305
61,299
110,292
7,290
504,287
83,284
73,278
90,277
8,276
74,269
109,268
165,265
704,260
707,249
183,244
98,243
140,237
17,232
116,228
53,227
87,226
706,224
97,216
5,216
734,215
88,211
187,210
147,209
21,208
135,207
46,204
138,202
130,198
159,190
736,188
170,180
24,163
709,162
68,159
174,156
158,156
144,155
749,152
106,149
20,149
84,149
133,146
512,138
193,138
188,137
195,132
714,126
163,124
5080,124
142,123
279,115
701,114
77,113
114,113
705,110
12,107
684,106
143,103
112,103
85,102
55,99
127,98
117,98
721,91
113,89
121,87
164,83
196,81
120,80
39,77
710,75
28,75
245,74
217,73
715,71
722,69
735,67
80,66
194,65
162,64
191,63
541,62
33,61
724,60
313,57
101,57
314,57
307,55
720,54
305,54
13,53
725,52
137,52
526,52
128,51
578,51
226,50
134,50
241,49
703,48
18,48
99,47
34,44
645,43
302,43
315,40
306,38
655,38
244,36
132,36
35,35
60,33
623,33
303,33
551,32
247,32
203,31
718,30
56,28
29,28
146,27
542,27
225,27
702,27
185,26
248,26
325,26
309,25
584,24
261,23
708,22
719,22
503,21
5005,21
278,21
19,21
264,20
103,20
728,20
712,20
197,19
561,17
506,17
321,17
14,17
5262,17
317,15
723,15
25,15
57,15
111,14
175,13
318,13
311,13
337,13
37,12
310,12
341,11
316,11
312,11
167,11
304,10
32,10
42,10
23,9
450,9
122,9
151,9
49,9
64,8
44,8
625,8
308,8
333,8
682,7
36,7
511,7
149,7
340,7
354,6
31,6
750,6
5012,6
356,5
249,5
276,5
176,5
5282,5
345,5
5293,5
119,5
269,5
334,5
617,5
171,4
808,4
349,4
301,4
177,4
332,4
43,4
5013,4
331,4
538,4
5008,3
411,3
410,3
418,3
425,3
417,3
711,3
366,3
5010,3
367,3
274,3
263,3
5002,3
324,3
5001,2
262,2
260,2
528,2
160,2
347,2
510,2
628,2
5007,2
405,2
412,2
339,2
660,2
5099,2
805,2
10,2
5011,2
5202,2
338,2
426,1
439,1
586,1
5280,1
509,1
1050,1
726,1
806,1
342,1
809,1
209,1
379,1
639,1
397,1
557,1
259,1
210,1
336,1
5003,1
5006,1
319,1
5060,1
265,1
330,1
524,1
353,1
5009,1
807,1
